"send, sendto, sendmsg","Networking","sys/socket.h","DCE",
"recv, recvfrom, recvmsg","Networking","sys/socket.h","DCE",
"gethostbyname, gethostbyname2","Networking","netdb.h","DCE",
"getaddrinfo, freeaddrinfo, gai_strerror","Networking","netdb.h","DCE",
"gethostent, sethostent, endhostset, hstrerror","Networking","netdb.h","NATIVE",
"herror","Networking","netdb.h","DCE",
"getprotoent, getprotobyname, getprotonumber, setprotoent, endprotoent","Networking","netdb.h","NATIVE",
"getservent, getservbyname, getservbyport, setservent, endservent","Networking","netdb.h","NATIVE",
"if_nametoindex","Networking","net/if.h","DCE",
"getnameinfo","Networking","sys/socket.h","DCE",
"ether_aton_r","Networking","netinet/ether.h","NATIVE",
"atexit","Process","stdlib.h","DCE",
"getpid, getppid","Process","unistd.h","DCE",
"getuid, geteuid","Process","unistd.h","DCE",
"setuid","Process","unistd.h","DCE",
"setgid","Process","unistd.h","DCE",
"seteuid, setegid","Process","unistd.h","DCE",
"setreuid, setregid","Process","unistd.h","DCE",
"setresuid, setresgid","Process","unistd.h","DCE",
"sched_yield","Process","sched.h","DCE",
"exit","Process","unistd.h","DCE",
"getenv","Process","stdlib.h","DCE",
"putenv","Process","stdlib.h","DCE",
"setenv, unsetenv","Process","stdlib.h","DCE",
"clearenv","Process","stdlib.h","DCE",
"fork","Process","unistd.h","DCE","Supported only with the Cooja Loader."
"abort","Process","stdlib.h","DCE",
"execl, execlp, execle, execv, execvp, execve ","Process","unistd.h","DCE","Supported only with the pthread fiber manager."
"wait, waitpid","Process","sys/wait.h","DCE",
"sbrk","Process","unistd.h","DCE",
"getpagesize","Process","unistd.h","DCE",
"getgid, getegid","Process","unistd.h","DCE",
"gethostname","Process","unistd.h","DCE",
"getpgrp","Process","unistd.h","DCE",
"pipe","Process","unistd.h","DCE",
"__sigsetjmp, siglongjmp","Process","setjmp.h","NATIVE","Experimental, please do not use them."
"getdtablesize","Process","unistd.h","NATIVE",
"random, srandom","Random","stdlib.h","DCE",
"rand, srand","Random","stdlib.h","DCE",
"drand48, erand48, lrand48, nrand48, mrand48, jrand48, srand48, seed48, lcong48","Random","stdlib.h","DCE",
"drand48_r, erand48_r, lrand48_r, nrand48_r, mrand48_r, jrand48_r, srand48_r, seed48_r, lcong48_r","Random","stdlib.h","DCE",
"signal","Signal","signal.h","DCE",
"sigaction","Signal","signal.h","DCE",
"sigemptyset, sigfillset, sigaddset, sigdelset, sigismember","Signal","signal.h","NATIVE",
"sigprocmask","Signal","signal.h","DCE",
"qsort","Sort","stdlib.h","NATIVE",
"strerror, strerror_h","String","string.h","NATIVE",
"setlocale","String","locale.h","DCE","Do nothing at all"
"strcoll","String","string.h","NATIVE",
"uselocale","String","locale.h","NATIVE",
"newlocale","String","locale.h","NATIVE",
"wctob","String","wchar.h","NATIVE",
"btowc","String","wchar.h","NATIVE",
"memset","String","string.h","NATIVE",
"memcpy","String","string.h","NATIVE",
"bcopy","String","string.h","NATIVE",
"memcmp","String","string.h","NATIVE",
"memmove","String","string.h","NATIVE",
"memchr","String","string.h","NATIVE",
"strcpy, strncpy","String","string.h","NATIVE",
"strcat, strncat","String","string.h","NATIVE",
"strcmp, strncmp","String","string.h","NATIVE",
"strlen, strnlen","String","string.h","NATIVE",
"strspn, strcspn","String","string.h","NATIVE",
"strchr, strrchr","String","string.h","NATIVE",
"strcasecmp, strncasecmp","String","string.h","NATIVE",
"strdup, strndup","String","string.h","DCE",
"getopt, getopt_long","String","unistd.h","DCE",
"atoi, atol, atoll, atof","String","stdlib.h","NATIVE",
"strtol, strtoll","String","stdlib.h","DCE",
"strtoul, strtoull","String","stdlib.h","DCE",
"strtod","String","stdlib.h","DCE",
"toupper, tolower","String","ctype.h","NATIVE",
"index, rindex","String","strings.h","NATIVE",
"strtok, strtok_r","String","string.h","NATIVE",
"sscanf","String","stdio.h","NATIVE",
"basename, dirname","String","libgen.h","NATIVE",
"bindtextdomain, textdomain, gettext","String","libintl.h","NATIVE",
"mbrlen","String","wchar.h","NATIVE",
"strtoimax, strtoumax","String","inttypes.h","NATIVE",
"openlog, syslog, closelog, vsyslog, setlogmask","Syslog","syslog.h","DCE",
"pthread_create","Thread","pthread.h","DCE",
"pthread_exit","Thread","pthread.h","DCE",
"pthread_self","Thread","pthread.h","DCE",
"pthread_once","Thread","pthread.h","DCE",
"pthread_getspecific, pthread_setspecific","Thread","pthread.h","DCE",
"pthread_key_create","Thread","pthread.h","DCE",
"pthread_key_delete","Thread","pthread.h","DCE",
"pthread_mutex_destroy, pthread_mutex_init","Thread","pthread.h","DCE",
"pthread_mutex_lock, pthread_mutex_trylock, pthread_mutex_unlock","Thread","pthread.h","DCE",
"pthread_mutexattr_destroy, pthread_mutexattr_init","Thread","pthread.h","DCE",
"pthread_mutexattr_settype","Thread","pthread.h","DCE",
"pthread_cancel","Thread","pthread.h","DCE",
"pthread_kill","Thread","pthread.h","DCE",
"pthread_join","Thread","pthread.h","DCE",
"pthread_detach","Thread","pthread.h","DCE",
"pthread_cond_destroy, pthread_cond_init","Thread","pthread.h","DCE",
"pthread_cond_broadcast, pthread_cond_signal","Thread","pthread.h","DCE",
"pthread_cond_timedwait, pthread_cond_wait","Thread","pthread.h","DCE",
"pthread_condattr_destroy, pthread_condattr_init","Thread","pthread.h","DCE",
"sem_init","Thread Synchronization","semaphore.h","DCE",
"sem_destroy","Thread Synchronization","semaphore.h","DCE",
"sem_post","Thread Synchronization","semaphore.h","DCE",
"sem_wait, sem_trywait, sem_timedwait","Thread Synchronization","semaphore.h","DCE",
"sem_getvalue","Thread Synchronization","semaphore.h","DCE",
"sleep, usleep","Timer","unistd.h","DCE",
"nanosleep","Timer","time.h","DCE",
"getitimer, setitimer","Timer","sys/time.h","DCE",
"timerfd_create, timerfd_settime, timerfd_gettime","Timer","sys/timerfd.h","DCE",
"getgrnam","Users & Groups","grp.h","NATIVE",
"getrusage","Users & Groups","sys/resource.h","NATIVE",
